No,Type,Threat_type,Itype,Status,Value,Severity,IOC_type,ThreatScore,Created_ts,Organization,Confidence,Source_reported_confidence
484,ip,spam,spam_ip,active,118.71.163.184,low,gov,25,2021-03-21,FPT Telecom Company,99,60
485,ip,spam,spam_ip,active,112.197.177.142,low,gov,21,2021-03-21,Cung cap dich vu Internet khach hang quan Nha Be,83,60
486,ip,spam,spam_ip,active,14.254.194.158,low,gov,20,2021-03-21,Vietnam Posts And Telecommunications Group,78,60
487,ip,spam,spam_ip,active,116.100.212.166,low,gov,25,2021-03-21,Viettel Corporation,97,60
488,ip,spam,spam_ip,active,171.246.98.220,low,gov,25,2021-03-21,Viettel Group,98,60
489,ip,spam,spam_ip,active,115.76.54.127,low,gov,13,2021-03-21,Viettel Group,51,60
490,ip,spam,spam_ip,active,14.172.109.7,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
491,ip,spam,spam_ip,active,14.186.182.93,low,gov,18,2021-03-21,Vietnam Posts and Telecommunications(VNPT),71,60
492,ip,spam,spam_ip,active,123.17.134.95,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
493,ip,spam,spam_ip,active,116.98.173.83,low,gov,24,2021-03-21,Viettel Corporation,93,60
494,ip,spam,spam_ip,active,14.242.114.51,low,gov,7,2021-03-21,Vietnam Posts and Telecommunications(VNPT),28,60
495,ip,spam,spam_ip,active,171.236.65.163,low,gov,25,2021-03-21,Viettel Group,100,60
496,ip,spam,spam_ip,active,14.190.125.176,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
497,ip,spam,spam_ip,active,14.243.25.224,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),79,60
498,ip,spam,spam_ip,active,14.176.145.230,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),88,60
499,ip,spam,spam_ip,active,14.186.45.18,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),86,60
500,ip,spam,spam_ip,active,14.245.62.227,low,gov,9,2021-03-21,Vietnam Posts and Telecommunications(VNPT),34,60
501,ip,spam,spam_ip,active,123.18.65.31,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),93,60
502,ip,spam,spam_ip,active,115.76.55.149,low,gov,13,2021-03-21,Viettel Group,51,60
503,ip,spam,spam_ip,active,1.52.103.56,low,gov,25,2021-03-21,FPT Telecom,99,60
504,ip,spam,spam_ip,active,116.96.79.43,low,gov,25,2021-03-21,Viettel Group,99,60
505,ip,spam,spam_ip,active,1.52.126.160,low,gov,25,2021-03-21,FPT Telecom Company,99,60
506,ip,spam,spam_ip,active,171.236.48.254,low,gov,25,2021-03-21,Viettel Group,100,60
507,ip,spam,spam_ip,active,112.197.31.227,low,gov,18,2021-03-21,SaiGon Tourist cable Televition Company,72,60
508,ip,spam,spam_ip,active,27.64.123.20,low,gov,25,2021-03-21,Viettel Group,97,60
509,ip,spam,spam_ip,active,59.153.237.121,low,gov,24,2021-03-21,MOBIFONE Corporation,96,60
510,ip,spam,spam_ip,active,42.119.155.183,low,gov,25,2021-03-21,FPT Telecom Company,99,60
511,ip,spam,spam_ip,active,117.5.102.155,low,gov,25,2021-03-21,Viettel Group,97,60
512,ip,spam,spam_ip,active,113.187.188.192,low,gov,16,2021-03-21,Vietnam Posts And Telecommunications Group,61,60
513,ip,spam,spam_ip,active,117.5.155.178,low,gov,25,2021-03-21,Viettel Group,100,60
514,ip,spam,spam_ip,active,113.167.12.115,low,gov,25,2021-03-21,Vietnam Posts and Telecommunications(VNPT),97,60
515,ip,spam,spam_ip,active,171.232.125.77,low,gov,22,2021-03-21,Viettel Group,87,60
516,ip,spam,spam_ip,active,123.17.189.94,low,gov,19,2021-03-21,Vietnam Posts and Telecommunications(VNPT),76,60
517,ip,spam,spam_ip,active,14.247.129.237,low,gov,24,2021-03-21,Vietnam Posts and Telecommunications(VNPT),96,60
518,ip,spam,spam_ip,active,113.170.114.179,low,gov,22,2021-03-21,Vietnam Posts and Telecommunications(VNPT),86,60
519,ip,spam,spam_ip,active,125.235.237.183,low,gov,25,2021-03-21,Viettel Group,100,60
520,ip,spam,spam_ip,active,123.16.93.32,low,gov,20,2021-03-21,Vietnam Posts and Telecommunications(VNPT),77,60
521,ip,spam,spam_ip,active,59.153.220.83,low,gov,24,2021-03-21,,96,60
522,ip,spam,spam_ip,active,14.232.247.43,low,gov,23,2021-03-21,Vietnam Posts and Telecommunications(VNPT),89,60
523,ip,spam,spam_ip,active,115.72.76.93,low,gov,25,2021-03-21,Viettel Group,98,60
524,ip,spam,spam_ip,active,42.113.196.91,low,gov,25,2021-03-21,FPT Telecom Company,99,60
